Feb 27 14:35:34 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21345, session=<UuYUBoufBuusEgAI>
Feb 27 14:35:35 imap-login: Info: Login: user=<YVdEQXp3aUN2d1IzYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21348, session=<I24ZBoufEuusEgAI>
Feb 27 14:35:35 imap-login: Info: Login: user=<a25nUlN5WUpScFpURQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21350, session=<ZvMaBoufGuusEgAI>
Feb 27 14:35:36 imap-login: Info: Login: user=<ZkJrV2ZkUTRCOHFlbwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21357, session=<Wc8pBoufLOusEgAI>
Feb 27 14:35:36 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21358, session=<O/8pBoufLuusEgAI>
Feb 27 14:35:36 imap-login: Info: Login: user=<alFNaGZDYmozT1BlYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21361, session=<RKgtBoufOuusEgAI>
Feb 27 14:35:36 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21364, session=<mX0wBoufQuusEgAI>
Feb 27 14:35:36 imap-login: Info: Login: user=<ci83TTliMnouZU1pQQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21366, session=<+9YyBoufUuusEgAI>
Feb 27 14:35:37 imap-login: Info: Login: user=<Ui52QjBUTFA5ay5hLgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21369, session=<Afo6BoufZOusEgAI>
Feb 27 14:35:37 imap-login: Info: Login: user=<dWlZRlBzN1hYMGN5cwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21372, session=<6Cc8BoufbOusEgAI>
Feb 27 14:35:38 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21377, session=<s9lEBoufeuusEgAI>
Feb 27 14:35:38 imap-login: Info: Login: user=<S2g3N1Q0ejFsZ29Sawo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21378, session=<6gVFBoufgOusEgAI>
Feb 27 14:35:38 imap-login: Info: Login: user=<ci83TTliMnouZU1pQQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21381, session=<G/BJBoufiuusEgAI>
Feb 27 14:35:38 imap-login: Info: Login: user=<amhuU05VWVFLQ3FnWQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21383, session=<1+JNBoufkuusEgAI>
Feb 27 14:35:39 imap-login: Info: Login: user=<LzNyTGJFemhYTFpnLgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21386, session=<DjFXBoufnOusEgAI>
Feb 27 14:35:39 imap-login: Info: Login: user=<LzNyTGJFemhYTFpnLgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21389, session=<HhReBoufpOusEgAI>
Feb 27 14:35:39 imap-login: Info: Login: user=<LzNyTGJFemhYTFpnLgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21391, session=<3kReBoufruusEgAI>
Feb 27 14:35:39 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21392, session=<x4JeBoufsOusEgAI>
Feb 27 14:35:39 imap-login: Info: Login: user=<eWZ0NWlUZGliVHBUawo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21394, session=<txhhBoufvOusEgAI>
Feb 27 14:35:40 imap-login: Info: Login: user=<a25nUlN5WUpScFpURQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21396, session=<7+dnBoufxOusEgAI>
Feb 27 14:35:40 imap-login: Info: Login: user=<M3VCUnJTTnI5YmFkdwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21399, session=<g2pqBouf0OusEgAI>
Feb 27 14:35:40 imap-login: Info: Login: user=<NW41RTYvazdrU2NvMgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21401, session=<8qdqBouf0uusEgAI>
Feb 27 14:35:40 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21403, session=<0dxqBouf2OusEgAI>
Feb 27 14:35:40 imap-login: Info: Login: user=<U2E3TTlWUWF1MjZQNgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21404, session=<Gf5qBouf4OusEgAI>
Feb 27 14:35:41 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21407, session=<AudyBouf7OusEgAI>
Feb 27 14:35:41 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21413, session=<Ibh7Bouf+uusEgAI>
Feb 27 14:35:41 imap-login: Info: Login: user=<dWlZRlBzN1hYMGN5cwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21418, session=<bdCABoufBuysEgAI>
Feb 27 14:35:42 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21423, session=<vACLBoufGuysEgAI>
Feb 27 14:35:42 imap-login: Info: Login: user=<R1A3L0JKbjc4Vkc4cwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21426, session=<FvKMBoufJOysEgAI>
Feb 27 14:35:42 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21429, session=<ljWPBoufMOysEgAI>
Feb 27 14:35:42 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21430, session=<fGWPBoufMuysEgAI>
Feb 27 14:35:42 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21432, session=<kUiQBoufPOysEgAI>
Feb 27 14:35:43 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21435, session=<Rm2SBoufRuysEgAI>
Feb 27 14:35:43 imap-login: Info: Login: user=<VFZWb0t1TmlVT0VJQQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21440, session=<cnabBoufUuysEgAI>
Feb 27 14:35:43 imap-login: Info: Login: user=<amhuU05VWVFLQ3FnWQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21442, session=<07CbBoufVuysEgAI>
Feb 27 14:35:43 imap-login: Info: Login: user=<VUM3bWxqaE5yazFqZwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21443, session=<69mbBoufXOysEgAI>
